image,method,precision_at_k,recall_at_k,f1_at_k,iou_strict,pred_edge_pixels,gt_edge_pixels
demo_crack_01_gray.png,Sobel,0.19077366650648728,1.0,0.32041969330104925,0.05814386880357809,18729,1144
demo_crack_01_gray.png,Prewitt,0.1936431623931624,1.0,0.3244573730140971,0.05884861407249467,18720,1144
demo_crack_01_gray.png,LoG,0.22625466611364578,0.9676573426573427,0.3667556526225551,0.009304686178311622,4822,1144
demo_crack_01_gray.png,Canny,0.9751491053677932,0.9519230769230769,0.9633961253459512,0.0,1006,1144
demo_crack_02_gray.png,Sobel,0.14893617021276595,1.0,0.25925925925925924,0.01921992722054226,18753,1133
demo_crack_02_gray.png,Prewitt,0.15213675213675212,1.0,0.26409495548961426,0.02150758940056599,18720,1133
demo_crack_02_gray.png,LoG,0.14068441064638784,0.8111209179170344,0.23978026782503228,0.00905349794238683,4997,1133
demo_crack_02_gray.png,Canny,0.577490774907749,0.5525154457193292,0.5647271087054578,0.0,1084,1133
demo_crack_03_gray.png,Sobel,0.135229620212935,1.0,0.23824188129899213,0.014365482233502537,18879,1104
demo_crack_03_gray.png,Prewitt,0.13840811965811967,1.0,0.24316080897189246,0.016094310609943617,18720,1104
demo_crack_03_gray.png,LoG,0.12139201637666326,0.7663043478260869,0.2095834424744046,0.011143001857166976,4885,1104
demo_crack_03_gray.png,Canny,0.41683991683991684,0.3632246376811594,0.38818973862536305,0.0,962,1104
